regio2,districtPopTrend,districtPop
Stuttgart,0.52,634830
Südliche_Weinstraße_Kreis,0.36,110356
Südwestpfalz_Kreis,-0.2,95113
Suhl,0.44,34835
Teltow_Fläming_Kreis,1.08,168296
Tirschenreuth_Kreis,-0.2,72504
Traunstein_Kreis,0.66,177089
Trier,0.53,110636
Trier_Saarburg_Kreis,0.71,148945
Tübingen_Kreis,0.81,227331
Tuttlingen_Kreis,0.94,140152
Uckermark_Kreis,-0.32,119552
Uelzen_Kreis,0.24,92572
Ulm,0.88,126329
Unna_Kreis,0.21,394782
Unstrut_Hainich_Kreis,-0.21,102912
Unterallgäu_Kreis,0.98,144041
Vechta_Kreis,1.01,141598
Verden_Kreis,0.69,136792
Viersen_Kreis,0.22,298935
Vogelsbergkreis,0.05,105878
Vogtlandkreis,-0.55,227796
Vulkaneifel_Kreis,0.18,60603
Waldeck_Frankenberg_Kreis,0.18,156953
Waldshut_Kreis,0.61,170619
Warendorf_Kreis,0.39,277783
Wartburgkreis,3.15,123025
Weiden_in_der_Oberpfalz,0.35,42520
Weilheim_Schongau_Kreis,0.65,135348
Weimar,0.4,65090
Weimarer_Land_Kreis,0.2,81947
Weißenburg_Gunzenhausen_Kreis,0.56,94393
Werra_Meißner_Kreis,-0.02,101017
Wesel_Kreis,0.21,459809
Wesermarsch_Kreis,0.09,88624
Westerwaldkreis,0.42,201597
Wetteraukreis,0.8,306460
Wiesbaden,0.37,278342
Wilhelmshaven,0.06,76278
Wittenberg_Kreis,-0.49,125840
Wittmund_Kreis,0.38,56882
Wolfenbüttel_Kreis,0.06,119960
Wolfsburg,0.32,124151
Worms,0.59,83330
Wunsiedel_im_Fichtelgebirge_Kreis,-0.27,73178
Wuppertal,0.49,354382
Würzburg,0.28,127880
Würzburg_Kreis,0.47,161834
Zollernalbkreis,0.51,188935
Zweibrücken,0.15,34209
Zwickau_Kreis,-0.56,317531
